,SetCode,BandGapValue,error_percentage
0,0,1.80825108,0.008251079999999966
1,1,1.80205225,0.0020522499999999777
2,2,1.79599933,0.0040006700000001505
3,3,1.78986095,0.010139050000000038
4,4,1.78377376,0.016226239999999947
5,5,1.7776991,0.022300900000000068
6,6,1.77158642,0.02841358000000005
7,7,1.76552562,0.03447438000000003
8,15,1.81429369,0.014293689999999915
9,14,1.82033203,0.020332030000000056
10,13,1.82641279,0.026412789999999964
11,12,1.83248409,0.032484089999999854
12,11,1.83856592,0.03856591999999992
13,10,1.8446542,0.044654199999999866
14,9,1.85071559,0.05071559000000003
15,8,1.85680449,0.056804489999999985
