,SetCode,BandGapValue,error_percentage
0,15,1.81589552,0.9391617565314094
1,14,1.82197311,1.2769933296275782
2,13,1.82803135,1.6137493051695455
3,12,1.83409162,1.950618121178432
4,11,1.84018553,2.289356864924966
5,10,1.84630732,2.6296453585325206
6,9,1.85242026,2.9694419121734295
7,8,1.85844396,3.304277932184551
8,0,1.80977207,0.5987809894385783
9,1,1.80375801,0.26448082267926515
10,2,1.79758996,0.07837909949971597
11,3,1.79157678,0.41263035019454997
12,4,1.78544151,0.7536681489716436
13,5,1.77936604,1.0913818788215648
14,6,1.77329528,1.4288337965536417
15,7,1.76720033,1.7676303501945434
