,SetCode,BandGapValue,error_percentage
0,15,1.78809397,0.6062273485269539
1,14,1.79418426,0.2676898276820432
2,13,1.80013722,0.06321400778211012
3,12,1.80614764,0.3973118399110685
4,11,1.81209816,0.7280800444691479
5,10,1.81802936,1.0577743190661477
6,9,1.82406241,1.393130072262373
7,8,1.83003871,1.7253312951639814
8,0,1.782135,0.9374652584769265
9,1,1.77617116,1.2689738743746444
10,2,1.77020363,1.60068760422457
11,3,1.76415416,1.9369560867148428
12,4,1.75813453,2.2715658699277355
13,5,1.75208488,2.607844357976653
14,6,1.74610908,2.9400177876598024
15,7,1.74020944,3.2679577543079397
