,SetCode,BandGapValue,error_percentage
0,15,1.80479167,0.321938299055032
1,14,1.81089574,0.6612418010005645
2,13,1.81683377,0.9913157309616437
3,12,1.8229507,1.3313340744858313
4,11,1.82902086,1.6687526403557553
5,10,1.83510663,2.0070389105058446
6,9,1.84106213,2.338083935519741
7,8,1.84717181,2.6776992773763286
8,0,1.79878908,0.011724291272929592
9,1,1.79261326,0.35501612006670075
10,2,1.78661285,0.6885575319621958
11,3,1.78059504,1.0230661478599237
12,4,1.77454143,1.3595647581989971
13,5,1.76847125,1.696984435797665
14,6,1.76252295,2.027629238465815
15,7,1.75640889,2.367488048916067
