,PAGE,REG,POS,Name,Length,Option,Attribute,Match
0,0,00,3,fro_sel_0p8125mhz,1,"Frequency selection of ckg_froclk_muxed, it's meaningfull only if REG00[1]=1. 	00 = 3.25MHz	01 = 1.625MHz	1X = 0.8125MHz",N,
1,0,00,2,fro_sel_1p625mhz,1,None,N,
2,0,00,1,fro_sel,1,Frequency selection of ckg_froclk_muxed. 	The effective selection is = boot_done & REG00[1] &  OTP_FRO_SEL	0 = 13MHz	1 = divided version according to REG00[3:2],N,
3,0,00,0,powerup,1,Power Up	0 = Power-down	1 = Normal operation,N,
4,0,01,0,hard_reset,1,Software hard-reset.,P,
5,0,02,3,general_fault_aon,1,Removing of gating on resyncs inside rfu_top	0 = resyncs are gated	1 = resyncs are always clocked,N,
6,0,02,2,int_mask_mode,1,Interrupt mask mode	0 = flags are set if mask is 1	1 = flags are set but interrupt is output on line only if its mask is 1 (default),N,
7,0,02,1,int_polarity,1,Interrupt polarity	0 = INTLINE active low (default)	1 = INTLINE active high,N,
8,0,02,0,int_clear_mode,1,Interrupt clear mode	0 = clear on read	1 = clear on write (default),N,
9,0,03,7,audio_en_int,1,"Audio enabled (that is, Audio processor can start with playback)",I,
10,0,03,6,pa_ng_on_int,1,PA noise-gate ON,I,
11,0,03,5,pa_ng_off_int,1,PA noise-gate OFF,J,
12,0,03,4,fsyn_valid_fault,1,TDM FSYN fault,J,
13,0,03,3,tdm_i_fault,1,TDM input fault,I,
14,0,03,2,tsd_fault,1,TSD event,I,
15,0,03,1,pwrok_fault,1,PWROK fault,J,
16,0,03,0,clk_missing_fault,1,Clock monitor fault,I,
17,0,04,7,audio_en_int_mask,1,Audio enable mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
18,0,04,6,pa_ng_on_int_mask,1,ClassD noise-gate ON mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
19,0,04,5,pa_ng_off_int_mask,1,ClassD noise-gate OFF mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
20,0,04,4,fsyn_valid_fault_mask,1,TDM FSYN fault mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
21,0,04,3,tdm_i_fault_mask,1,TDM input fault mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
22,0,04,2,tsd_fault_mask,1,TSD fault mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
23,0,04,1,pwrok_fault_mask,1,PWROK fault mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
24,0,04,0,clk_missing_fault_mask,1,Clock missing fault mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
25,0,05,6,fir4_clip_fault,1,Clip from FIR 4,I,
26,0,05,5,fir3_clip_fault,1,Clip from FIR 3,I,
27,0,05,4,fir2_clip_fault,1,Clip from FIR 2,I,
28,0,05,3,fir1_clip_fault,1,Clip from FIR 1,I,
29,0,05,2,bst_ocp_fault,1,BST OCP fault,I,
30,0,05,1,bst_bias_ovp_fault,1,Over-voltage from BST,I,
31,0,05,0,bst_bso_ovp_fault,1,Over-voltage from BST,I,
32,0,06,6,fir4_clip_fault_mask,1,Clip from FIR 4 mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
33,0,06,5,fir3_clip_fault_mask,1,Clip from FIR 3 mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
34,0,06,4,fir2_clip_fault_mask,1,Clip from FIR 1 mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
35,0,06,3,fir1_clip_fault_mask,1,Clip from FIR 1 mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
36,0,06,2,bst_ocp_fault_mask,1,OCP from BST mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
37,0,06,1,bst_bias_ovp_fault_mask,1,Over-voltage from BST mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
38,0,06,0,bst_bso_ovp_fault_mask,1,Over-voltage from BST mask	0 = INTN is not affected (default)	1 = INTN is affected,N,
39,0,0A,7,bst_byp_on,1,BYPASS detection	0 = boost not in bypass	1 = boost in bypass,R,
40,0,0A,6,classd_ng_on,1,NG detection	0 = system in noise gate	1 = system in play,R,
41,0,0A,4,fsyn_valid,1,FSYN detection	0 = fsyn not valid	1 = fsyn valid,R,
42,0,0A,3,tdm_i,1,None,R,
43,0,0A,2,tsd,1,TSD detection	0 = over-temperature detected	1 = temperature below level,R,
44,0,0A,1,pwrok,1,PWROK status	0 = power is not OK	1 = power is OK	,R,
45,0,0A,0,clk_missing,1,Clock monitor status	0 = clock error	1 = clock OK	,R,
46,0,0B,7,audio_en,1,"Audio enabled (that is, Audio processor can start with playback)	0 = Processor must not play	1 = Processor can play",R,
47,0,0B,1,bst_bias_ovp,1,Bst bias ovp status	0 = ovp not present	1 = ovp present	,R,
48,0,0B,0,bst_bso_ovp,1,Bst bso ovp status	0 = ovp not present	1 = ovp present	,R,
49,0,0C,4,mnt_fsyn_rate[2:0],3,TDM FYSN detected sample rate	000 = idle	001 = 48kHz	010 = 96kHz	011 = 192kHz	100 = 384kHz	101 = 768kHz,R,
50,0,0C,0,mnt_bclk_osr[2:0],3,TDM detected BCLK OSR	000 = idle	001 = 20	010 = 32	011 = 40	100 = 48	101 = 64	,R,
51,0,0D,4,platform[1:0],2,Detected platform (it drives effective otp fields)	00 = Platform 0	01 = Platform 1	00 = Platform 2	01 = Platform 3	,R,
52,0,0D,0,boot_done,1,"Boot (otp loading, platform detection and i2c_load) status	0 = boot not completed	1 = boot completed	",R,
53,0,0E,7,ext_offset_zero_sat,1,Saturation of zero calibration	0 = calibration not saturated	1 = calibration saturated,R,
54,0,0E,6,ext_offset_idle_sat,1,Saturation of idle calibration	0 = calibration not saturated	1 = calibration saturated,R,
55,0,0E,0,applied_offset[11:8],4,Applied calibration offset on data path. LSB = 28.61uV (15V/2^19),R,0F
56,0,0F,0,applied_offset[7:0],8,Applied calibration offset on data path. LSB = 28.61uV (15V/2^19),R,0E
57,0,10,7,en_ana_dc_mode,1,None,N,
58,0,10,6,i3c_hs_en,1,None,N,
59,0,10,4,tif_en,1,Enable of up-sample filters. This field is dynamically gated according to the scenario.	0 = disabled	1 = enabled (default),N,
60,0,10,3,et_en,1,Enable of digital envelop tracking fsm. This field is dynamically gated according to the scenario.	0 = disabled	1 = enabled (default),N,
61,0,10,2,refclk_en,1,Digital enable of refclk. Refclk is ungated according to the logic AND between this field and REG00[0].	0 = disabled	1 = enabled (default),N,
62,0,10,1,mod_en,1,Enable of digital modulators. This field is dynamically gated according to the scenario.	0 = disabled	1 = enabled (default),N,
63,0,10,0,tdm_en,1,Enable of tdm interface. This field is dynamically gated according to the scenario.	0 = disabled	1 = enabled (default),N,
64,0,11,2,pdm_freq[1:0],2,"Select the PDM freq, it's only meaningful in PDM mode.	00 = 3.072MHz	01 = 6.144MHz	1X = 12.288MHz",N,
65,0,11,0,input_mode[1:0],2,Select the input type. The default of this field is OTP dependent:	00 = TDM	01 = PDM	1X = Analog in,N,
